,19900287,201411023,201411085
1,"[0, 0, 0, 6, 6]","[0, 0, 0, 1, 1]","[0, 0, 0, 1, 1]"
2,"[0, 1, 1, 28, 29]","[0, 0, 0, 1, 1]","[0, 0, 0, 1, 1]"
3,"[0, 0, 0, 4, 4]","[0, 0, 0, 4, 4]","[0, 0, 0, 4, 4]"
4,"[0, 0, 0, 7, 7]","[2, 0, 0, 5, 5]","[0, 0, 0, 6, 6]"
5,"[3, 0, 0, 9, 9]","[2, 0, 0, 8, 8]","[4, 0, 0, 10, 10]"
6,"[2, 0, 0, 7, 7]","[1, 0, 0, 7, 7]","[3, 0, 0, 8, 8]"
7,"[0, 0, 0, 4, 4]","[0, 0, 0, 6, 6]","[0, 0, 0, 5, 5]"
8,"[0, 0, 0, 4, 4]","[0, 0, 0, 6, 6]","[0, 0, 0, 5, 5]"
9,"[0, 0, 0, 5, 5]","[2, 0, 0, 7, 7]","[0, 0, 0, 7, 7]"
10,"[0, 0, 0, 4, 4]","[0, 0, 0, 5, 5]","[0, 0, 0, 5, 5]"
11,"[0, 0, 0, 6, 6]","[0, 0, 0, 6, 6]","[2, 0, 0, 8, 8]"
12,"[0, 0, 0, 4, 4]","[0, 0, 0, 4, 4]","[0, 0, 0, 5, 5]"
13,"[0, 0, 0, 9, 9]","[0, 0, 0, 8, 8]","[2, 0, 0, 9, 9]"
14,"[0, 0, 0, 3, 3]","[0, 0, 0, 4, 4]","[1, 0, 0, 4, 4]"
15,"[0, 0, 0, 3, 3]","[0, 0, 0, 5, 5]","[0, 0, 0, 5, 5]"
16,"[0, 0, 0, 6, 6]","[0, 0, 0, 8, 8]","[0, 0, 0, 12, 12]"
17,"[0, 0, 0, 4, 4]","[0, 0, 0, 5, 5]","[3, 0, 0, 10, 10]"
18,"[0, 0, 0, 4, 4]","[0, 0, 0, 5, 5]","[0, 0, 0, 7, 7]"
19,"[0, 1, 1, 8, 9]","[0, 0, 0, 4, 4]","[0, 0, 0, 8, 8]"
20,"[0, 0, 0, 5, 5]","[0, 0, 0, 5, 5]","[0, 0, 0, 7, 7]"
21,"[0, 0, 0, 5, 5]","[0, 0, 0, 6, 6]","[0, 0, 0, 10, 10]"
22,"[0, 0, 0, 6, 6]","[0, 0, 0, 6, 6]","[0, 0, 0, 6, 6]"
23,"[0, 0, 0, 7, 7]","[0, 0, 0, 7, 7]","[0, 0, 0, 7, 7]"
24,"[0, 0, 0, 13, 13]","[0, 0, 0, 10, 10]","[0, 0, 0, 11, 11]"
25,"[0, 0, 0, 7, 7]","[0, 0, 0, 6, 6]","[0, 0, 0, 2, 2]"
26,"[0, 0, 0, 7, 7]","[0, 0, 0, 7, 7]","[0, 0, 0, 7, 7]"
27,"[0, 0, 0, 5, 5]","[0, 0, 0, 5, 5]","[0, 0, 0, 6, 6]"
28,"[0, 0, 0, 8, 8]","[0, 0, 0, 9, 9]","[0, 0, 0, 8, 8]"
29,"[0, 0, 0, 8, 8]","[0, 0, 0, 12, 12]","[0, 0, 0, 9, 9]"
30,"[0, 0, 0, 15, 15]","[0, 0, 0, 16, 16]","[0, 0, 0, 13, 13]"
31,"[0, 0, 0, 10, 10]","[0, 0, 0, 10, 10]","[0, 0, 0, 8, 8]"
32,"[0, 0, 0, 4, 4]","[0, 0, 0, 6, 6]","[0, 0, 0, 6, 6]"
33,"[0, 0, 0, 14, 14]",,
34,"[0, 0, 0, 13, 13]","[0, 0, 0, 10, 10]","[0, 0, 0, 7, 7]"
35,"[0, 0, 0, 19, 19]","[0, 0, 0, 12, 12]","[0, 0, 0, 13, 13]"
36,"[0, 0, 0, 14, 14]","[0, 0, 0, 13, 13]","[0, 0, 0, 8, 8]"
37,"[0, 1, 1, 11, 12]","[0, 0, 0, 12, 12]","[0, 0, 0, 11, 11]"
38,"[0, 1, 1, 28, 29]",,"[0, 0, 0, 19, 19]"
39,"[0, 0, 0, 8, 8]",,"[0, 0, 0, 8, 8]"
40,"[0, 0, 0, 15, 15]",,"[0, 0, 0, 10, 10]"
41,"[0, 0, 0, 17, 17]",,"[0, 0, 0, 13, 13]"
42,"[0, 0, 0, 1, 1]",,"[0, 0, 0, 9, 9]"
43,"[0, 0, 0, 15, 15]","[0, 0, 0, 10, 10]","[0, 0, 0, 10, 10]"
44,"[0, 0, 0, 11, 11]",,"[0, 0, 0, 13, 13]"
45,"[0, 0, 0, 11, 11]",,"[0, 0, 0, 13, 13]"
46,"[0, 0, 0, 14, 14]",,"[0, 0, 0, 13, 13]"
47,"[0, 1, 1, 7, 8]",,"[0, 1, 1, 7, 8]"
48,"[0, 0, 0, 9, 9]",,"[0, 0, 0, 9, 9]"
49,"[0, 0, 0, 41, 41]","[0, 0, 0, 18, 18]","[0, 0, 0, 23, 23]"
50,"[0, 0, 0, 18, 18]","[0, 0, 0, 25, 25]","[0, 0, 0, 36, 36]"
51,"[0, 0, 0, 11, 11]","[0, 1, 1, 21, 22]","[1, 1, 1, 25, 26]"
52,"[0, 0, 0, 22, 22]",,"[0, 0, 0, 11, 11]"
53,"[0, 0, 0, 16, 16]",,"[0, 0, 0, 9, 9]"
54,"[1, 1, 1, 33, 34]",,"[3, 1, 1, 24, 25]"
55,"[0, 0, 0, 13, 13]",,"[0, 0, 0, 8, 8]"
56,"[0, 1, 1, 7, 8]","[0, 1, 1, 7, 8]","[0, 1, 1, 7, 8]"
57,"[0, 1, 1, 11, 12]","[0, 1, 1, 11, 12]","[0, 0, 0, 12, 12]"
58,"[0, 1, 1, 7, 8]","[0, 1, 1, 7, 8]","[0, 1, 1, 9, 10]"
59,"[0, 1, 1, 6, 7]","[0, 1, 1, 6, 7]","[0, 1, 1, 6, 7]"
60,"[1, 1, 1, 7, 8]","[1, 1, 1, 7, 8]","[1, 1, 1, 9, 10]"
61,"[0, 0, 0, 3, 3]","[0, 0, 0, 4, 4]","[0, 0, 0, 5, 5]"
62,"[0, 1, 1, 5, 6]","[0, 1, 1, 5, 6]","[0, 1, 1, 5, 6]"
63,"[0, 1, 1, 11, 12]","[0, 1, 1, 12, 13]","[0, 1, 1, 13, 14]"
64,"[4, 1, 1, 42, 43]","[0, 1, 1, 7, 8]","[4, 1, 1, 28, 29]"
65,"[0, 1, 1, 9, 10]",,"[0, 0, 0, 9, 9]"
66,"[0, 0, 0, 13, 13]","[0, 0, 0, 10, 10]","[0, 0, 0, 10, 10]"
67,"[0, 1, 1, 14, 15]",,"[0, 1, 1, 14, 15]"
68,"[0, 1, 1, 36, 37]",,"[1, 1, 1, 38, 39]"
69,"[0, 0, 0, 5, 5]","[1, 0, 0, 6, 6]","[1, 0, 0, 6, 6]"
70,"[0, 1, 1, 2, 3]","[0, 1, 1, 2, 3]","[0, 1, 1, 2, 3]"
71,"[0, 1, 1, 5, 6]","[0, 1, 1, 4, 5]","[0, 1, 1, 7, 8]"
72,"[0, 1, 1, 5, 6]","[0, 1, 1, 8, 9]","[0, 1, 1, 6, 7]"
73,"[0, 1, 1, 6, 7]",,"[0, 0, 0, 4, 4]"
74,"[0, 1, 1, 26, 27]",,"[0, 1, 1, 26, 27]"
75,,,"[0, 1, 1, 25, 26]"
76,"[0, 0, 0, 22, 22]",,"[0, 1, 1, 11, 12]"
77,,,
78,"[0, 1, 1, 19, 20]",,"[0, 1, 1, 13, 14]"
