['201411023', [0.24, 0.76, 197], [0.47, 0.53, 19], [1.0, 0.0, 38], [0.14, 0.71, 0.0, 0.14, 7], [1], [0, 72, 0, 0]]
['201411085', [0.32, 0.68, 443], [0.63, 0.37, 35], [0.89, 0.11, 79], [0.14, 0.02, 0.46, 0.38, 56], [2], [0, 142, 0, 9]]
['201411130', [0.22, 0.78, 358], [0.71, 0.29, 24], [0.92, 0.08, 63], [0.53, 0.0, 0.16, 0.32, 19], [0], [58, 181, 1, 5]]
['201411153', [0.42, 0.58, 363], [0.43, 0.57, 35], [0.79, 0.21, 47], [0.49, 0.0, 0.49, 0.02, 43], [0], [28, 111, 2, 10]]
['201511020', [0.33, 0.67, 309], [0.83, 0.17, 35], [0.98, 0.02, 51], [0.18, 0.0, 0.41, 0.41, 49], [0], [3, 109, 0, 1]]
['201511057', [0.17, 0.83, 389], [0.62, 0.38, 37], [0.85, 0.15, 82], [0.44, 0.0, 0.04, 0.52, 25], [1], [4, 173, 1, 12]]
['201511080', [0.12, 0.88, 527], [0.53, 0.47, 75], [0.89, 0.11, 72], [0.5, 0.17, 0.08, 0.25, 12], [2], [1, 190, 6, 8]]
['201511153', [0.22, 0.78, 416], [0.54, 0.46, 35], [0.83, 0.17, 70], [0.56, 0.0, 0.06, 0.38, 34], [0], [0, 168, 0, 12]]
['201611074', [0.1, 0.9, 324], [0.38, 0.62, 40], [0.88, 0.12, 65], [0.25, 0.38, 0.19, 0.19, 16], [1], [2, 157, 0, 8]]
['201611104', [0.25, 0.75, 375], [0.58, 0.42, 43], [0.84, 0.16, 62], [0.5, 0.17, 0.06, 0.28, 18], [1], [4, 139, 0, 10]]
['201611155', [0.37, 0.63, 375], [0.55, 0.45, 40], [0.82, 0.18, 56], [0.62, 0.0, 0.0, 0.38, 13], [1], [3, 143, 0, 10]]
['201611161', [0.28, 0.72, 436], [0.53, 0.47, 51], [0.84, 0.16, 64], [0.22, 0.0, 0.45, 0.33, 58], [0], [8, 170, 0, 10]]
['201611172', [0.61, 0.39, 212], [0.7, 0.3, 20], [0.89, 0.11, 36], [0.44, 0.06, 0.0, 0.5, 16], [0], [2, 70, 0, 4]]
['201711036', [0.24, 0.76, 429], [0.65, 0.35, 51], [0.78, 0.22, 79], [0.12, 0.0, 0.32, 0.56, 57], [3], [4, 168, 0, 17]]
['201711084', [0.24, 0.76, 418], [0.62, 0.38, 39], [0.88, 0.12, 81], [0.16, 0.0, 0.3, 0.54, 61], [1], [6, 159, 0, 10]]
['201711091', [0.25, 0.75, 197], [0.69, 0.31, 29], [0.79, 0.21, 33], [0.57, 0.0, 0.14, 0.29, 7], [0], [8, 76, 0, 7]]
['201711094', [0.38, 0.62, 258], [0.43, 0.57, 47], [0.84, 0.16, 56], [0.05, 0.0, 0.0, 0.95, 19], [1], [1, 135, 0, 9]]
['201811004', [0.24, 0.76, 356], [0.48, 0.52, 27], [0.92, 0.08, 79], [0.14, 0.0, 0.35, 0.51, 51], [0], [1, 145, 0, 6]]
['201811017', [0.22, 0.78, 468], [0.71, 0.29, 48], [0.85, 0.15, 72], [0.06, 0.0, 0.55, 0.39, 49], [0], [2, 160, 0, 11]]
['201811032', [0.29, 0.71, 501], [0.55, 0.45, 55], [0.87, 0.13, 83], [0.14, 0.0, 0.35, 0.51, 63], [0], [3, 180, 1, 11]]
['201811034', [0.65, 0.35, 156], [0.48, 0.52, 25], [0.83, 0.17, 29], [0.0, 0.0, 0.0, 1.0, 4], [1], [1, 69, 0, 5]]
['201811046', [0.28, 0.72, 458], [0.21, 0.79, 43], [0.93, 0.07, 103], [0.06, 0.02, 0.42, 0.5, 48], [2], [6, 180, 0, 7]]
['201811048', [0.29, 0.71, 331], [0.63, 0.37, 30], [0.92, 0.08, 63], [0.22, 0.0, 0.39, 0.39, 49], [2], [3, 135, 1, 5]]
['201811054', [0.21, 0.79, 342], [0.51, 0.49, 35], [0.87, 0.13, 67], [0.29, 0.0, 0.11, 0.61, 28], [5], [2, 138, 2, 9]]
['201811075', [0.22, 0.78, 266], [0.58, 0.42, 52], [0.88, 0.12, 66], [0.21, 0.68, 0.0, 0.11, 19], [0], [2, 137, 1, 8]]
['201811076', [0.24, 0.76, 408], [0.85, 0.15, 41], [0.83, 0.17, 46], [0.07, 0.02, 0.44, 0.46, 41], [0], [1, 120, 0, 8]]
['201811087', [0.36, 0.64, 387], [0.42, 0.58, 48], [0.85, 0.15, 62], [0.21, 0.06, 0.38, 0.35, 48], [1], [3, 143, 1, 9]]
['201811090', [0.4, 0.6, 386], [0.76, 0.24, 46], [0.88, 0.12, 83], [0.27, 0.0, 0.0, 0.73, 41], [1], [2, 153, 2, 10]]
['201811098', [0.38, 0.62, 326], [0.47, 0.53, 30], [0.43, 0.57, 61], [0.18, 0.06, 0.35, 0.41, 51], [1], [0, 136, 0, 35]]
